Month,sym,ADV,ADTV,Volatility
2020-01,000001.SZSE,9.431124e+007,1.541456e+009,0.01571707
2020-01,000858.SZSE,2.659564e+007,3.500026e+009,0.02093635
2020-01,600030.SHSE,1.911945e+008,4.767957e+009,0.01915584
2020-01,600519.SHSE,5009789,5.442897e+009,0.01535407
2020-01,601318.SHSE,6.942242e+007,5.793206e+009,0.01165628
2020-02,000001.SZSE,1.28786e+008,1.875055e+009,0.02881629
2020-02,000858.SZSE,2.717163e+007,3.265404e+009,0.02898269
2020-02,600030.SHSE,2.426596e+008,5.653862e+009,0.03289533
2020-02,600519.SHSE,4267422,4.498024e+009,0.01885218
2020-02,601318.SHSE,8.099388e+007,6.323392e+009,0.02047654
2020-03,000001.SZSE,1.229089e+008,1.667877e+009,0.0271596
2020-03,000858.SZSE,3.172167e+007,3.677085e+009,0.03541407
2020-03,600030.SHSE,1.906305e+008,4.498679e+009,0.02518155
2020-03,600519.SHSE,5232402,5.588862e+009,0.02635368
2020-03,601318.SHSE,8.132898e+007,5.845411e+009,0.02106224
2020-04,000001.SZSE,8.269051e+007,1.068701e+009,0.01634964
2020-04,000858.SZSE,2.127602e+007,2.695264e+009,0.02007408
2020-04,600030.SHSE,1.045421e+008,2.371649e+009,0.01483914
2020-04,600519.SHSE,2980109,3.532472e+009,0.01455354
2020-04,601318.SHSE,5.224137e+007,3.620037e+009,0.01330822
2020-05,000001.SZSE,6.860877e+007,9.06263e+008,0.01414434
2020-05,000858.SZSE,2.076316e+007,2.982045e+009,0.01844312
2020-05,600030.SHSE,7.536554e+007,1.720142e+009,0.01092235
2020-05,600519.SHSE,2690777,3.547328e+009,0.01394412
2020-05,601318.SHSE,3.813952e+007,2.723095e+009,0.01103913
2020-06,000001.SZSE,9.136596e+007,1.189271e+009,0.01173105
2020-06,000858.SZSE,2.279179e+007,3.636815e+009,0.0210718
2020-06,600030.SHSE,1.196304e+008,2.760732e+009,0.01598124
2020-06,600519.SHSE,2682577,3.775912e+009,0.01395904
2020-06,601318.SHSE,5.624539e+007,4.105134e+009,0.01315647
2020-07,000001.SZSE,2.090119e+008,3.018083e+009,0.03191501
2020-07,000858.SZSE,3.590937e+007,7.386363e+009,0.03290102
2020-07,600030.SHSE,4.136971e+008,1.237984e+010,0.04627301
2020-07,600519.SHSE,4966039,8.229251e+009,0.02774034
2020-07,601318.SHSE,1.209319e+008,9.633264e+009,0.02808495
2020-08,000001.SZSE,1.487813e+008,2.150627e+009,0.02078528
2020-08,000858.SZSE,2.341135e+007,5.178657e+009,0.01866412
2020-08,600030.SHSE,2.410736e+008,7.578407e+009,0.02763627
2020-08,600519.SHSE,3165362,5.34212e+009,0.01047813
2020-08,601318.SHSE,7.21084e+007,5.564084e+009,0.01556279
2020-09,000001.SZSE,9.781005e+007,1.496646e+009,0.01866068
2020-09,000858.SZSE,2.056759e+007,4.648647e+009,0.01744813
2020-09,600030.SHSE,1.071815e+008,3.285916e+009,0.01580148
2020-09,600519.SHSE,3002057,5.125114e+009,0.01388616
2020-09,601318.SHSE,6.394571e+007,4.981623e+009,0.01650983
2020-10,000001.SZSE,1.302455e+008,2.243721e+009,0.01932219
2020-10,000858.SZSE,1.816562e+007,4.35062e+009,0.02305769
2020-10,600030.SHSE,9.109384e+007,2.761373e+009,0.01734963
2020-10,600519.SHSE,2953978,5.004608e+009,0.01724169
2020-10,601318.SHSE,6.385944e+007,5.184044e+009,0.01491169
2020-11,000001.SZSE,9.79761e+007,1.799526e+009,0.01953651
2020-11,000858.SZSE,1.710121e+007,4.506501e+009,0.01870839
2020-11,600030.SHSE,1.011821e+008,2.988519e+009,0.01443738
2020-11,600519.SHSE,2907117,5.035385e+009,0.01489544
2020-11,601318.SHSE,7.275486e+007,6.172686e+009,0.01507721
2020-12,000001.SZSE,8.528789e+007,1.60522e+009,0.01646996
2020-12,000858.SZSE,1.581214e+007,4.350361e+009,0.0133978
2020-12,600030.SHSE,1.007442e+008,2.96144e+009,0.01569861
2020-12,600519.SHSE,3575240,6.57206e+009,0.01452855
2020-12,601318.SHSE,6.253121e+007,5.466134e+009,0.01659242
